ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
873282.51,14.06,1.0,446604.12,7.19
872661.82,14.05,0.99,445872.72,7.18
872495.55,14.05,0.99,445720.04,7.18
872329.27,14.05,0.99,445567.37,7.18
872238.59,14.05,0.99,445365.96,7.17
872083.2,14.05,0.99,445219.45,7.17
871916.92,14.05,0.99,445183.82,7.17
871761.54,14.05,0.99,445125.44,7.17
871329.58,14.04,0.98,444582.76,7.17
870708.9,14.04,0.97,443851.35,7.16
870600.17,14.04,0.97,443742.62,7.15
870168.21,14.03,0.97,443333.55,7.15
870001.94,14.03,0.97,443209.79,7.15
869569.98,14.02,0.96,442667.12,7.14
869414.59,14.02,0.96,442520.61,7.14
868982.64,14.02,0.96,441977.93,7.13
868550.68,14.01,0.95,441435.25,7.12
868384.41,14.01,0.95,441399.62,7.12
867952.45,14.01,0.94,440856.95,7.12
867798.06,14.01,0.94,440686.67,7.11
867643.66,14.01,0.94,440375.52,7.11
867742.87,14.01,0.95,440364.01,7.11
866601.7,14.01,0.95,439926.87,7.11
866479.47,14.01,0.95,442240.96,7.15
866482.94,14.01,0.95,442133.71,7.15
866482.94,14.01,0.95,442133.71,7.15
865865.35,14.01,0.95,441692.49,7.15
865865.35,14.01,0.95,441692.49,7.15
865281.2,14.0,0.94,441108.34,7.14
865190.51,14.0,0.94,440906.93,7.14
864758.55,14.0,0.93,440364.25,7.13
864758.55,14.0,0.93,440364.25,7.13
864137.87,13.99,0.92,439632.85,7.12
863705.91,13.98,0.92,439090.17,7.11
863550.53,13.98,0.92,438964.15,7.11
863550.53,13.98,0.92,438964.15,7.11
862929.84,13.98,0.91,438232.74,7.1
863038.4,13.98,0.91,438230.57,7.1
862872.12,13.98,0.91,438174.45,7.1
862602.23,13.97,0.91,437904.56,7.09
862431.55,13.97,0.91,437756.76,7.09
861999.59,13.97,0.9,437214.09,7.08
862171.56,13.97,0.91,437227.01,7.09
862171.56,13.97,0.91,437227.01,7.09
861550.87,13.96,0.9,436629.22,7.08
860505.71,13.96,0.9,436296.23,7.08
860339.44,13.96,0.9,436422.49,7.08
